NAME,RANK_PROJECTED,RANK_PROJECTED_LIVE,RANK_SCORED,FANTASY_POINTS_PROJECTED,FANTASY_POINTS_PROJECTED_LIVE,FANTASY_POINTS_SCORED,IPO_PRICE,SUGGESTED_PRICE,LAST_PRICE,BID_PRICE,ASK_PRICE,FINAL_PRICE,PROJECTED_VALUATION,CURRENT_VALUATION,TRADEABLE_ID,ENTITY_ID,TEAM_ID,TEAM_ABBREVIATION,EVENT_ID,EVENT_NAME,price,quantity
Skyy Moore,51,51,51,5.18,5.18,NULL,NULL,1.3,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665062a736736621aadf,en_62a736736621aadf4d29b377b53a27cd,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.21,22
Dalton Schultz,52,53,52,4.74,4.74,NULL,NULL,1.26,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566505a0d2dd129a7b27c,en_5a0d2dd129a7b27c52d033b269f8b6f4,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.8,22
James Cook,53,46,53,7.05,7.05,NULL,NULL,1.64,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566506280fade1dac68e9,en_6280fade1dac68e951028c41da900b65,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.06,22
Kenneth Gainwell,54,54,54,4.5,4.5,NULL,NULL,1.24,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060fae7000d5cb0c3,en_60fae7000d5cb0c3ab6230c683127336,team_225aab2f9ddb2784623537df6742aa52,PHI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.15,22
Zack Moss,55,75,55,0,0,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665035456dce2843aba5,en_35456dce2843aba54c93c87e9150cc1c,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Quez Watkins,56,55,56,4.21,4.21,NULL,NULL,1.07,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650c79cb3250083744e,en_c79cb3250083744e2a86ec6b27784ec5,team_225aab2f9ddb2784623537df6742aa52,PHI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.14,22
Terrace Marshall,57,56,57,4,4,NULL,NULL,1.06,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060fae6ff4d293135,en_60fae6ff4d2931358305883822711253,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.01,22
Dee Eskridge,58,57,58,3.8,3.8,NULL,NULL,1.06,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060ac08254b314ea1,en_60ac08254b314ea17140d5f992ec728c,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Noah Gray,59,58,59,3.6,3.6,NULL,NULL,1.05,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060ac0823a9b9ff63,en_60ac0823a9b9ff63aec11e0ad0724e8f,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.05,22
Ian Thomas,60,60,60,3.23,3.23,NULL,NULL,1.02,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650f1bf0cf3a60de1e3,en_f1bf0cf3a60de1e3172ddbdf046456f6,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.03,22
Khalil Shakir,61,59,61,3.33,3.33,NULL,NULL,1.03,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665062e3db7da6954967,en_62e3db7da6954967355fc8abbb3b8b1f,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.64,22
Tommy Tremble,62,62,62,2.8,2.8,NULL,NULL,1.02,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060fae6ff0acb833b,en_60fae6ff0acb833b13f09bf91a4d2db1,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.13,22
Trey McBride,63,61,63,2.86,2.86,NULL,NULL,1.02,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650628640f530421711,en_628640f530421711b74591209563d234,team_5d4e631aa0243be4a65e307323486ea6,ARI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Quintin Morris,64,65,64,2.35,2.35,NULL,NULL,1.01,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060ac0822fa48747a,en_60ac0822fa48747ada786d29cfd878d6,team_21219ce1e25ab5a51058ba397fad41ae,BUF,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Chuba Hubbard,65,63,65,2.43,2.43,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c65665060ac08211966ed0c,en_60ac08211966ed0ce88e4ec4607b4953,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Boston Scott,66,64,66,2.41,2.41,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566500faa556fa98baac5,en_0faa556fa98baac58be51c82d06a0d9c,team_225aab2f9ddb2784623537df6742aa52,PHI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.02,22
Greg Dortch,67,67,67,2.23,2.23,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566503bf3d362428ef233,en_3bf3d362428ef2336b1c006cf036d861,team_5d4e631aa0243be4a65e307323486ea6,ARI,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Colby Parkinson,68,70,68,2.15,2.15,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650b7f5609b1866262d,en_b7f5609b1866262d718321eb93c478fc,team_63afd608a237bfbf186dce8c22e72a66,SEA,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,1.02,22
D'Onta Foreman,69,68,69,2.2,2.2,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650b47a44db191351a8,en_b47a44db191351a8d45daaacbd4b59cd,team_03e38ef6a95d4b29c4ed09d4d8de81e6,CAR,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Jake Ferguson,70,71,70,2.1,2.1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c6566506310ae8ab3f4ee1d,en_6310ae8ab3f4ee1dfa96a2120f65df52,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Justin Watson,71,72,71,2.09,2.09,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650527a7b58daa30129,en_527a7b58daa301296a1bfecd54f8f97c,team_29338d32d4d1c136bf5645e6e65b7874,KC,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
Peyton Hendershot,72,73,72,2.03,2.03,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,tdbl_6345a9c17c656650627fa9588fc640d4,en_627fa9588fc640d48e348f8ca7d1e6e0,team_241ae9b7227d599db16e963f1bbd7bb8,DAL,evt_6345a9c17c656650361f9ee874b4d3cf,NFL Sunday Sweat Market 10/16,,
